customer_id,signup_date,age,income_segment,region,contract_type
CUST000093,2022-12-21,33,Low,West,Monthly
CUST000094,2023-04-16,38,Medium,West,Monthly
CUST000095,2022-04-15,37,Low,West,Monthly
CUST000096,2022-11-18,24,Medium,East,Monthly
CUST000097,2023-07-26,45,Medium,West,Annual
CUST000098,2023-06-11,45,High,West,TwoYear
CUST000099,2023-05-19,42,Medium,West,Monthly
CUST000100,2022-03-26,39,Medium,North,Monthly
CUST000101,2023-12-10,25,Low,South,Annual
CUST000102,2022-08-23,36,Low,West,Monthly
CUST000103,2022-09-20,37,Medium,West,Monthly
CUST000104,2022-01-06,32,Medium,South,Monthly
CUST000105,2023-05-09,40,Medium,South,Monthly
CUST000106,2022-10-16,46,Medium,East,Monthly
CUST000107,2023-07-24,64,Low,South,TwoYear
CUST000108,2023-10-19,44,Medium,South,Monthly
CUST000109,2023-07-08,45,Low,North,Annual
CUST000110,2022-12-16,41,Low,East,Monthly
CUST000111,2022-07-19,18,Low,North,Monthly
CUST000112,2023-11-17,41,Medium,South,Monthly
CUST000113,2022-12-01,42,Medium,West,Annual
CUST000114,2023-08-30,71,Low,East,Monthly
CUST000115,2022-08-05,39,Medium,South,Monthly
CUST000116,2023-09-15,45,Medium,South,Monthly
CUST000117,2022-12-19,41,High,West,Monthly
CUST000118,2023-11-23,27,Medium,West,Monthly
CUST000119,2023-11-06,55,Low,West,Annual
CUST000120,2023-09-23,51,High,East,Monthly
CUST000121,2022-11-21,51,Low,North,Monthly
CUST000122,2022-08-16,31,Medium,East,Annual
CUST000123,2022-05-25,58,Medium,West,Annual
CUST000124,2022-11-04,25,Low,East,Monthly
CUST000125,2023-10-16,49,Medium,West,Annual
CUST000126,2023-09-26,68,Low,North,Monthly
CUST000127,2022-10-12,30,High,East,Annual
CUST000128,2023-01-27,35,Low,North,Monthly
CUST000129,2022-12-26,43,Medium,North,Monthly
CUST000130,2022-06-14,35,Medium,West,Annual
CUST000131,2023-08-04,23,Low,East,Monthly
CUST000132,2022-08-12,42,Medium,East,Monthly
CUST000133,2022-05-04,29,High,North,Monthly
CUST000134,2022-12-10,47,Medium,West,Monthly
CUST000135,2023-06-08,30,Medium,North,Annual
CUST000136,2022-02-21,60,Medium,North,Monthly
CUST000137,2022-05-09,32,High,North,Monthly
CUST000138,2022-05-15,38,Low,North,Annual
CUST000139,2023-10-19,51,Medium,East,TwoYear
CUST000140,2022-05-07,27,Low,South,Monthly
CUST000141,2022-03-12,44,High,East,Annual
CUST000142,2022-09-30,57,Medium,West,Monthly
CUST000143,2022-07-06,22,High,South,Annual
CUST000144,2022-01-03,44,High,North,Annual
CUST000145,2022-10-12,45,Low,East,Annual
CUST000146,2022-01-22,51,Low,South,Annual
CUST000147,2022-06-15,27,Low,North,Monthly
CUST000148,2022-11-06,26,Medium,East,Monthly
CUST000149,2023-04-22,48,Medium,South,Monthly
CUST000150,2023-05-13,45,Medium,East,Annual
CUST000151,2023-03-10,45,Medium,South,Annual
CUST000152,2022-08-22,46,Medium,West,Monthly
CUST000153,2023-11-01,33,Medium,East,Monthly
CUST000154,2023-10-25,44,Low,East,Annual
CUST000155,2023-12-26,45,Low,South,Monthly
CUST000156,2023-01-11,33,Medium,West,Annual
CUST000157,2022-09-03,64,Medium,East,Annual
CUST000158,2022-10-30,47,High,West,Monthly
CUST000159,2023-02-09,27,Medium,West,Monthly
CUST000160,2023-10-25,49,Medium,East,Annual
CUST000161,2023-12-09,30,Medium,North,Monthly
CUST000162,2022-01-21,51,Low,South,Monthly
CUST000163,2022-09-14,55,Low,East,Monthly
CUST000164,2023-02-03,32,Low,West,Monthly
CUST000165,2023-06-13,53,Low,South,Monthly
CUST000166,2022-02-20,46,Medium,East,Annual
CUST000167,2023-03-23,51,Medium,South,TwoYear
CUST000168,2022-09-27,64,Medium,South,Monthly
CUST000169,2023-08-18,39,Medium,West,Annual
CUST000170,2023-09-28,32,Low,North,Monthly
CUST000171,2022-09-19,31,Medium,North,Monthly
CUST000172,2022-12-31,32,Medium,South,Monthly
CUST000173,2022-02-18,41,High,West,TwoYear
CUST000174,2023-06-02,46,High,West,TwoYear
CUST000175,2023-09-21,45,Medium,East,Monthly
CUST000176,2022-04-28,51,Medium,South,Monthly
CUST000177,2023-03-29,42,Low,East,TwoYear
CUST000178,2023-10-03,59,Low,West,Monthly
CUST000179,2023-02-01,38,High,South,Annual
CUST000180,2023-11-14,74,Medium,North,Monthly
CUST000181,2022-01-27,49,Medium,North,Annual
CUST000182,2023-12-12,31,High,East,Monthly
CUST000183,2023-01-07,29,Medium,South,Monthly
CUST000184,2022-04-07,47,Low,West,Annual
CUST000185,2023-06-13,39,Low,East,Monthly
CUST000186,2023-11-16,50,Low,North,Monthly
CUST000187,2023-09-05,47,Medium,West,Monthly
CUST000188,2022-07-05,41,Medium,South,Monthly
CUST000189,2023-11-27,31,High,North,Monthly
CUST000190,2022-08-03,23,Medium,West,Monthly
CUST000191,2022-09-08,36,Low,North,Monthly
CUST000192,2022-08-04,52,Low,South,TwoYear
CUST000193,2022-01-29,44,Medium,East,Monthly
CUST000194,2022-04-12,27,High,West,Monthly
CUST000195,2022-05-03,44,Low,West,Annual
CUST000196,2022-02-23,46,High,South,Annual
CUST000197,2022-10-10,31,Medium,North,Monthly
CUST000198,2023-09-06,43,Low,North,Monthly
CUST000199,2022-04-27,42,High,North,Monthly
CUST000200,2023-09-08,28,Low,West,Monthly
CUST000201,2023-07-11,46,Medium,West,Annual
CUST000202,2022-04-24,48,Low,North,Annual
CUST000203,2023-06-27,54,High,West,Annual
CUST000204,2023-11-07,54,High,East,Monthly
CUST000205,2023-12-02,25,High,South,Monthly
CUST000206,2022-10-20,30,Low,South,Monthly
CUST000207,2022-07-14,48,Low,West,Monthly
CUST000208,2022-10-19,48,Medium,East,Monthly
CUST000209,2022-09-18,48,Low,East,Annual
CUST000210,2022-07-26,75,Medium,North,Annual
CUST000211,2023-07-18,48,Medium,South,Monthly
CUST000212,2022-02-18,55,Low,South,Monthly
CUST000213,2022-01-06,53,Medium,South,Monthly
CUST000214,2023-01-14,49,High,West,Annual
CUST000215,2023-01-29,38,High,East,Annual
CUST000216,2022-08-12,51,Medium,North,Monthly
CUST000217,2022-01-23,32,Medium,West,TwoYear
CUST000218,2023-10-19,39,Low,North,Annual
CUST000219,2022-04-20,36,Low,West,Annual
CUST000220,2023-12-25,42,Medium,South,Monthly
CUST000221,2023-07-07,69,High,North,Monthly
CUST000222,2023-02-03,19,Low,East,Monthly
CUST000223,2022-06-21,50,Low,East,Monthly
CUST000224,2023-11-29,22,Low,West,Annual
CUST000225,2023-12-27,36,Low,South,Monthly
CUST000226,2022-11-02,55,Low,West,Annual
CUST000227,2023-07-18,42,Medium,North,Monthly
CUST000228,2023-08-05,29,Medium,East,Monthly
CUST000229,2023-12-09,33,Low,East,Monthly
CUST000230,2022-05-31,50,Low,East,Monthly
CUST000231,2023-03-04,33,Medium,East,Monthly
CUST000232,2023-09-13,44,Medium,North,Annual
CUST000233,2023-04-12,42,Low,East,Annual
CUST000234,2023-09-22,34,High,West,Monthly
CUST000235,2023-08-30,67,Medium,East,TwoYear
CUST000236,2023-07-10,49,Medium,North,Monthly
CUST000237,2022-03-08,18,High,South,Monthly
CUST000238,2022-06-05,44,Medium,South,Monthly
CUST000239,2022-07-25,34,High,East,Monthly
CUST000240,2022-06-04,52,High,South,Monthly
CUST000241,2023-11-22,32,Low,North,Annual
CUST000242,2023-05-24,40,High,East,TwoYear
CUST000243,2023-07-26,48,Low,North,Annual
CUST000244,2022-03-15,52,Low,South,Annual
CUST000245,2022-02-18,27,High,South,Annual
CUST000246,2023-04-12,37,High,East,Monthly
CUST000247,2023-08-08,36,Medium,South,Monthly
CUST000248,2023-12-09,34,Low,East,Annual
CUST000249,2022-06-28,63,Medium,East,TwoYear
CUST000250,2022-02-17,46,Medium,West,Monthly
CUST000251,2022-03-13,26,Low,West,Monthly
CUST000252,2022-04-23,53,High,West,Monthly
CUST000253,2022-06-08,67,Medium,North,Monthly
CUST000254,2022-01-30,54,Low,South,Annual
CUST000255,2022-04-07,23,Low,South,Monthly
CUST000256,2022-09-08,36,Medium,West,Monthly
CUST000257,2023-06-03,57,Medium,East,Monthly
CUST000258,2022-04-02,33,Low,East,Annual
CUST000259,2022-04-23,47,Medium,East,Monthly
CUST000260,2022-09-16,51,Low,East,Annual
CUST000261,2022-04-17,30,Medium,North,Monthly
CUST000262,2023-07-29,41,Medium,South,Monthly
CUST000263,2023-01-25,18,Low,West,Monthly
CUST000264,2022-12-24,29,Medium,North,Monthly
CUST000265,2022-07-18,38,Medium,South,Monthly
CUST000266,2023-03-03,27,Medium,North,Monthly
CUST000267,2023-04-23,61,Medium,East,Annual
CUST000268,2023-05-18,24,High,North,Monthly
CUST000269,2023-10-20,36,High,North,Annual
CUST000270,2023-07-27,43,Low,East,Monthly
CUST000271,2022-04-30,59,Medium,East,Monthly
CUST000272,2023-07-27,24,Low,West,Monthly
CUST000273,2022-11-05,55,Low,West,TwoYear
CUST000274,2023-06-22,42,Low,South,Monthly
CUST000275,2023-09-19,30,High,West,Monthly
CUST000276,2023-04-20,47,Medium,West,Monthly
CUST000277,2023-07-06,44,Low,South,Annual
CUST000278,2022-12-10,34,Low,North,Annual
CUST000279,2023-09-20,42,High,North,Monthly
CUST000280,2022-05-16,37,Medium,North,Annual
CUST000281,2022-10-04,43,Medium,East,Monthly
CUST000282,2023-06-17,49,High,South,Monthly
CUST000283,2022-01-31,61,Medium,North,Annual
CUST000284,2022-09-04,27,Low,West,TwoYear
CUST000285,2023-02-15,67,Medium,West,Annual
CUST000286,2022-01-27,18,High,West,Monthly
CUST000287,2022-03-14,40,High,South,Monthly
CUST000288,2022-04-07,49,Low,South,TwoYear
CUST000289,2023-11-04,45,Low,West,Monthly
CUST000290,2022-12-12,34,Low,East,Annual
CUST000291,2023-04-21,39,Medium,East,Annual
CUST000292,2022-10-27,36,Medium,North,Monthly
CUST000293,2022-10-26,34,Low,North,Monthly
CUST000294,2022-10-14,52,Medium,North,Monthly
CUST000295,2023-03-25,46,Medium,North,Monthly
CUST000296,2022-07-31,33,Medium,North,TwoYear
CUST000297,2022-03-17,52,High,South,Monthly
CUST000298,2023-02-05,45,Medium,South,Monthly
CUST000299,2023-10-17,51,Medium,East,Annual
CUST000300,2022-02-03,49,Medium,East,Monthly
CUST000301,2023-05-13,32,High,South,Monthly
CUST000302,2023-05-31,35,Low,East,Annual
CUST000303,2022-11-24,50,High,West,Annual
CUST000304,2022-04-08,49,Low,East,Monthly
CUST000305,2023-01-01,41,Low,West,Annual
CUST000306,2023-12-30,43,Low,West,Monthly
CUST000307,2023-04-08,57,High,North,Annual
CUST000308,2022-01-28,34,Medium,East,Monthly
CUST000309,2023-12-14,48,Low,West,Monthly
CUST000310,2023-01-21,39,High,East,Monthly
CUST000311,2022-09-30,39,Medium,East,Monthly
CUST000312,2022-05-07,55,High,South,Monthly
CUST000313,2022-07-21,51,Low,South,Annual
CUST000314,2023-06-05,51,Low,North,Annual
CUST000315,2022-10-14,57,Medium,East,Annual
CUST000316,2023-03-26,42,Medium,South,Monthly
CUST000317,2022-03-29,50,Medium,West,Annual
CUST000318,2022-11-14,38,Medium,West,Annual
CUST000319,2022-01-19,45,Medium,North,Monthly
CUST000320,2023-08-16,40,Low,West,Monthly
CUST000321,2022-04-17,43,Medium,East,Monthly
CUST000322,2023-04-03,49,Medium,West,Monthly
CUST000323,2022-11-07,32,Low,North,TwoYear
CUST000324,2023-02-16,67,Low,North,Monthly
CUST000325,2023-09-16,29,Medium,West,Monthly
CUST000326,2023-09-27,27,High,East,Annual
CUST000327,2023-05-13,55,Low,South,Monthly
CUST000328,2022-09-01,51,Low,East,Monthly
CUST000329,2023-11-21,49,Low,East,Monthly
CUST000330,2023-07-31,49,High,East,Monthly
CUST000331,2023-01-15,41,Medium,West,Monthly
CUST000332,2023-05-30,31,High,South,Annual
CUST000333,2022-07-26,42,High,East,Monthly
CUST000334,2023-01-29,33,Medium,South,Monthly
CUST000335,2022-01-21,53,Low,North,Monthly
CUST000336,2023-06-11,40,Medium,South,Monthly
CUST000337,2022-12-09,32,Low,West,Annual
CUST000338,2023-12-19,38,Low,North,Monthly
CUST000339,2022-07-21,46,Low,North,Annual
CUST000340,2022-04-30,35,Medium,East,Monthly
CUST000341,2023-10-11,32,Medium,South,Annual
CUST000342,2023-01-24,44,Medium,North,Annual
CUST000343,2023-06-21,44,Medium,North,Monthly
CUST000344,2022-08-22,35,Low,South,TwoYear
CUST000345,2023-09-25,36,Medium,South,Monthly
CUST000346,2023-08-25,44,Medium,North,Annual
CUST000347,2022-11-16,24,Low,North,Monthly
CUST000348,2023-12-13,25,Medium,South,Monthly
CUST000349,2022-06-29,33,Medium,West,Monthly
CUST000350,2023-01-03,39,Low,South,Annual
CUST000351,2022-03-17,45,Low,West,Annual
CUST000352,2023-10-11,59,High,North,Monthly
CUST000353,2023-10-12,52,Low,East,Annual
CUST000354,2023-05-11,40,Medium,South,Annual
CUST000355,2023-06-06,41,High,North,Annual
CUST000356,2022-07-20,29,Medium,North,Monthly
CUST000357,2022-12-12,41,Low,East,Monthly
CUST000358,2023-04-28,38,High,South,Monthly
CUST000359,2022-08-07,45,Medium,North,Monthly
CUST000360,2022-03-01,32,Medium,West,Monthly
CUST000361,2023-10-21,48,Medium,East,Monthly
CUST000362,2023-09-11,60,Medium,West,TwoYear
CUST000363,2023-07-04,40,High,South,Annual
CUST000364,2023-10-08,46,High,West,Annual
CUST000365,2022-08-09,50,Medium,East,TwoYear
CUST000366,2023-05-17,37,High,North,Annual
CUST000367,2022-05-13,44,High,East,Monthly
CUST000368,2022-02-22,42,High,North,Annual
CUST000369,2023-03-26,43,Medium,North,Monthly
CUST000370,2022-03-03,32,Low,West,Monthly
CUST000371,2022-01-23,42,Medium,East,Monthly
CUST000372,2022-02-13,47,Low,East,Monthly
CUST000373,2023-07-12,59,Medium,North,Annual
CUST000374,2023-10-21,53,Low,East,Annual
CUST000375,2023-12-29,67,High,South,Monthly
CUST000376,2022-02-16,32,Medium,South,Monthly
CUST000377,2022-01-24,52,Medium,West,Monthly
CUST000378,2023-10-19,44,Medium,West,Annual
CUST000379,2022-03-30,68,Low,East,Monthly
CUST000380,2022-06-23,32,Medium,West,TwoYear
CUST000381,2023-07-30,31,Medium,East,Monthly
CUST000382,2022-04-29,34,High,West,TwoYear
CUST000383,2023-10-30,18,Low,South,Monthly
CUST000384,2022-06-27,35,Low,North,Monthly
CUST000385,2022-12-08,32,Medium,North,Monthly
CUST000386,2023-07-22,43,Low,South,Monthly
CUST000387,2022-02-28,46,Low,North,Monthly
CUST000388,2023-03-14,64,Low,East,Annual
CUST000389,2023-03-04,53,Medium,East,Monthly
CUST000390,2023-03-02,35,Low,South,Monthly
CUST000391,2023-01-16,31,Medium,South,Monthly
CUST000392,2023-05-01,47,High,South,Monthly
CUST000393,2022-07-04,26,Medium,South,Monthly
CUST000394,2023-07-13,63,Medium,North,TwoYear
CUST000395,2023-04-05,56,Medium,North,Monthly
CUST000396,2022-04-12,36,Low,North,Monthly
CUST000397,2023-07-10,21,Low,East,Monthly
CUST000398,2022-01-15,58,Low,West,Annual
CUST000399,2022-02-20,40,Medium,East,Monthly
CUST000400,2022-11-05,56,Medium,West,Annual
CUST000401,2022-02-03,22,High,South,Monthly
CUST000402,2023-09-28,34,High,South,Monthly
CUST000403,2023-08-12,42,Low,North,Monthly
CUST000404,2023-09-27,42,Medium,North,Monthly
CUST000405,2022-07-24,36,Low,West,Monthly
CUST000406,2022-03-11,49,Medium,West,Monthly
CUST000407,2022-08-18,29,Low,North,Monthly
CUST000408,2023-04-25,40,High,South,Annual
CUST000409,2023-06-17,43,High,North,Monthly
CUST000410,2022-04-18,48,Low,South,Monthly
CUST000411,2022-08-29,50,Medium,South,Monthly
CUST000412,2022-09-08,28,Medium,East,Monthly
CUST000413,2022-05-15,23,Medium,East,Monthly
CUST000414,2022-03-31,57,Medium,West,Monthly
CUST000415,2023-08-14,45,Medium,South,Monthly
CUST000416,2023-03-16,33,High,North,Monthly
CUST000417,2023-11-20,60,Medium,South,Monthly
CUST000418,2022-10-25,43,Medium,West,Monthly
CUST000419,2023-02-11,56,High,South,TwoYear
CUST000420,2022-11-04,42,High,South,Monthly
CUST000421,2022-04-12,66,Medium,West,Annual
CUST000422,2022-12-27,63,Low,South,Annual
CUST000423,2023-09-16,39,Medium,East,Annual
CUST000424,2023-11-24,53,High,West,Annual
CUST000425,2023-09-08,49,Low,East,Monthly
CUST000426,2023-06-12,58,Medium,West,Monthly
CUST000427,2023-08-31,30,Low,South,Annual
CUST000428,2022-10-20,50,Medium,East,Monthly
CUST000429,2022-05-26,54,High,East,Monthly
CUST000430,2023-02-08,20,Medium,North,Monthly
CUST000431,2022-01-02,27,Medium,East,Monthly
CUST000432,2022-04-29,18,High,East,Annual
CUST000433,2023-08-29,38,Low,South,Monthly
CUST000434,2022-07-10,50,High,East,Annual
CUST000435,2022-01-03,60,Medium,East,Monthly
CUST000436,2023-05-02,42,Medium,East,Monthly
CUST000437,2023-09-15,61,Medium,South,Monthly
CUST000438,2022-06-26,25,Medium,West,Monthly
CUST000439,2022-09-14,21,High,South,Monthly
CUST000440,2023-06-18,41,High,East,Monthly
CUST000441,2023-04-22,46,High,West,Monthly
CUST000442,2023-02-02,41,Low,South,Annual
CUST000443,2023-05-11,18,Medium,South,Monthly
CUST000444,2022-08-08,40,Medium,West,Monthly
CUST000445,2022-06-22,26,High,North,Annual
CUST000446,2023-01-25,50,Medium,East,Monthly
CUST000447,2023-05-17,46,High,North,Monthly
CUST000448,2023-07-31,30,High,East,Annual
CUST000449,2022-09-17,35,Medium,East,Annual
CUST000450,2022-05-11,29,High,North,Annual
CUST000451,2022-04-23,41,High,North,Monthly
CUST000452,2023-12-24,53,High,East,TwoYear
CUST000453,2022-01-20,30,Medium,West,Monthly
CUST000454,2022-08-03,48,High,West,TwoYear
CUST000455,2022-11-06,35,Low,North,TwoYear
CUST000456,2022-09-08,32,Medium,North,Monthly
CUST000457,2023-05-03,40,Low,South,Monthly
CUST000458,2023-01-17,29,Low,West,Annual
CUST000459,2023-02-13,35,High,West,Monthly
CUST000460,2022-09-28,27,Medium,East,Monthly
CUST000461,2023-02-11,65,Low,South,TwoYear
CUST000462,2023-11-23,42,Medium,East,Monthly
CUST000463,2022-07-13,33,High,South,TwoYear
CUST000464,2023-03-17,44,High,West,Annual
CUST000465,2022-11-09,40,Low,East,Annual
CUST000466,2022-03-20,39,High,South,Monthly
CUST000467,2022-06-29,49,Medium,East,Monthly
CUST000468,2023-11-06,51,Medium,South,TwoYear
CUST000469,2023-12-15,35,Medium,North,Monthly
CUST000470,2022-01-14,35,High,East,Annual
CUST000471,2022-09-03,38,High,North,Annual
CUST000472,2022-01-14,18,Low,South,Monthly
CUST000473,2022-04-09,23,Medium,East,Annual
CUST000474,2022-02-02,58,Medium,South,Monthly
CUST000475,2023-03-12,61,Medium,South,Monthly
CUST000476,2022-09-14,39,Medium,North,Monthly
CUST000477,2022-02-03,48,Medium,East,Annual
CUST000478,2022-01-19,45,Medium,West,Annual
CUST000479,2023-10-26,75,Low,South,Monthly
CUST000480,2022-09-17,55,Medium,North,Monthly
CUST000481,2023-11-07,40,Medium,West,Monthly
CUST000482,2023-08-12,30,Medium,North,Monthly
CUST000483,2023-02-20,22,High,North,Monthly
CUST000484,2022-05-17,44,Low,North,Annual
CUST000485,2022-12-25,32,Medium,South,TwoYear
CUST000486,2023-12-21,24,Medium,West,Monthly
CUST000487,2023-08-02,34,Low,South,Annual
CUST000488,2022-04-26,29,Low,South,Annual
CUST000489,2023-02-08,62,High,East,TwoYear
CUST000490,2022-07-21,52,Medium,West,Monthly
CUST000491,2023-01-11,41,Medium,East,Annual
CUST000492,2022-09-07,59,Medium,North,TwoYear
CUST000493,2023-03-22,42,High,West,TwoYear
CUST000494,2022-10-05,31,Medium,West,Monthly
CUST000495,2022-04-22,60,High,South,Monthly
CUST000496,2023-04-18,48,Medium,North,Annual
CUST000497,2023-11-19,29,Medium,South,Monthly
CUST000498,2023-01-27,39,Low,East,Monthly
CUST000499,2022-05-23,31,High,North,Monthly
CUST000500,2022-02-01,25,Medium,South,Monthly
CUST000501,2022-06-30,53,Medium,South,Monthly
CUST000502,2023-08-02,64,Low,South,Monthly
CUST000503,2023-05-31,25,Medium,North,Monthly
CUST000504,2022-09-26,48,Low,East,Monthly
CUST000505,2022-08-24,34,Medium,West,Monthly
CUST000506,2022-10-04,36,High,South,Annual
CUST000507,2023-07-07,34,Medium,North,Monthly
CUST000508,2023-09-25,31,Low,West,Annual
CUST000509,2022-10-02,42,High,South,Monthly
CUST000510,2022-03-27,32,High,North,Annual
CUST000511,2022-03-04,45,Medium,East,TwoYear
CUST000512,2023-02-08,41,Medium,South,Monthly
CUST000513,2022-07-11,39,High,North,Monthly
CUST000514,2022-10-20,31,Medium,South,Annual
CUST000515,2022-01-31,35,Medium,North,Annual
CUST000516,2022-11-26,51,Medium,East,Monthly
CUST000517,2023-10-20,48,Low,East,TwoYear
CUST000518,2022-04-17,30,High,North,Monthly
CUST000519,2023-09-14,43,Medium,West,Annual
CUST000520,2022-10-03,51,Medium,East,Monthly
CUST000521,2023-12-23,21,Low,South,Monthly
CUST000522,2023-10-13,48,Medium,East,Monthly
CUST000523,2023-08-21,34,Medium,South,Monthly
CUST000524,2023-07-10,48,Medium,East,TwoYear
CUST000525,2022-03-23,32,Medium,East,Annual
CUST000526,2022-03-05,20,Low,South,Annual
CUST000527,2023-07-21,22,Low,East,TwoYear
CUST000528,2023-08-09,42,Medium,South,Monthly
CUST000529,2022-05-09,45,Medium,South,Monthly
CUST000530,2022-09-13,31,Low,East,TwoYear
CUST000531,2022-08-19,49,Low,East,Monthly
CUST000532,2023-05-12,22,High,South,Annual
CUST000533,2022-05-17,41,Low,North,Monthly
CUST000534,2023-03-31,27,High,East,Annual
CUST000535,2022-12-21,34,Medium,West,Monthly
CUST000536,2023-09-16,42,Medium,East,Annual
CUST000537,2023-04-30,31,Low,North,TwoYear
CUST000538,2022-05-26,37,High,North,Annual
CUST000539,2022-02-02,54,Low,East,Monthly
CUST000540,2022-09-17,35,Medium,East,Monthly
CUST000541,2022-03-28,52,Low,West,Monthly
CUST000542,2022-09-22,28,High,East,Annual
CUST000543,2023-06-26,48,High,North,Monthly
CUST000544,2023-01-27,59,Medium,West,TwoYear
CUST000545,2022-08-20,18,Medium,East,Annual
CUST000546,2023-08-11,32,Medium,West,TwoYear
CUST000547,2023-03-23,48,High,West,Monthly
CUST000548,2022-05-09,39,Medium,North,TwoYear
CUST000549,2022-09-28,46,High,North,Annual
CUST000550,2022-03-30,34,Medium,South,Annual
CUST000551,2023-04-11,43,Low,North,Monthly
CUST000552,2022-06-19,40,Low,South,Monthly
CUST000553,2022-05-08,56,Medium,North,Monthly
CUST000554,2022-06-23,45,Medium,North,Monthly
CUST000555,2022-01-26,46,Low,South,Monthly
CUST000556,2023-07-27,37,Low,South,TwoYear
