customer_id,date,minutes_used,features_accessed,sessions
CUST004299,2023-12-22,87,9,3
CUST000717,2023-12-23,136,8,15
CUST008577,2023-12-24,88,9,6
CUST009734,2023-12-25,92,3,11
CUST009575,2023-12-26,231,4,10
CUST007567,2023-12-27,163,6,6
CUST008771,2023-12-28,32,8,5
CUST009665,2023-12-29,49,5,5
CUST003257,2023-12-30,176,5,10
CUST005779,2023-12-31,12,3,3
CUST007805,2024-01-01,220,5,8
CUST005734,2024-01-02,219,1,14
CUST006229,2024-01-03,182,7,14
CUST008438,2024-01-04,161,8,7
CUST007004,2024-01-05,54,9,4
CUST005165,2024-01-06,141,2,1
CUST000863,2024-01-07,55,6,2
CUST002410,2024-01-08,227,6,2
CUST006432,2024-01-09,120,7,9
CUST001703,2024-01-10,216,7,16
CUST007917,2024-01-11,82,4,4
CUST008208,2024-01-12,47,3,13
CUST005851,2024-01-13,126,2,1
CUST005879,2024-01-14,40,1,14
CUST001606,2024-01-15,191,8,9
CUST006915,2024-01-16,48,9,7
CUST008513,2024-01-17,21,4,17
CUST005615,2024-01-18,200,5,10
CUST009669,2024-01-19,142,3,5
CUST002915,2024-01-20,169,2,12
CUST000946,2024-01-21,160,4,18
CUST001622,2024-01-22,185,1,13
CUST008721,2024-01-23,80,6,4
CUST008590,2024-01-24,20,7,1
CUST009237,2024-01-25,128,5,19
CUST002367,2024-01-26,69,4,5
CUST006966,2024-01-27,79,9,3
CUST007556,2024-01-28,139,8,10
CUST000793,2024-01-29,163,1,13
CUST007851,2024-01-30,122,7,7
CUST009338,2024-01-31,11,8,6
CUST008184,2024-02-01,163,9,19
CUST004355,2024-02-02,79,3,8
CUST000627,2024-02-03,197,1,19
CUST002795,2024-02-04,183,9,15
CUST008535,2024-02-05,47,7,2
CUST008311,2024-02-06,1,1,13
CUST000268,2024-02-07,42,9,14
CUST006299,2024-02-08,22,8,11
CUST000725,2024-02-09,92,9,4
CUST000575,2024-02-10,46,7,3
CUST007867,2024-02-11,43,3,4
CUST000581,2024-02-12,165,4,1
CUST003372,2024-02-13,40,2,18
CUST008620,2024-02-14,130,8,7
CUST007066,2024-02-15,203,6,6
CUST005257,2024-02-16,79,7,16
CUST007500,2024-02-17,17,8,11
CUST008162,2024-02-18,201,6,2
CUST000169,2024-02-19,55,3,12
CUST008242,2024-02-20,24,8,8
CUST001762,2024-02-21,204,5,15
CUST004029,2024-02-22,173,7,5
CUST008156,2024-02-23,239,2,16
CUST005140,2024-02-24,73,7,2
CUST008882,2024-02-25,34,1,19
CUST007928,2024-02-26,116,7,12
CUST005485,2024-02-27,92,9,4
CUST003093,2024-02-28,69,4,19
CUST005167,2024-02-29,24,6,2
CUST005144,2024-03-01,63,1,14
CUST001074,2024-03-02,12,6,5
CUST000117,2024-03-03,35,1,11
CUST001000,2024-03-04,92,7,4
CUST003725,2024-03-05,23,7,6
CUST000008,2024-03-06,102,5,5
CUST003665,2024-03-07,120,5,9
CUST002795,2024-03-08,82,6,11
CUST003404,2024-03-09,177,7,15
CUST005722,2024-03-10,120,2,11
CUST005282,2024-03-11,145,8,11
CUST008064,2024-03-12,202,2,13
CUST005624,2024-03-13,29,7,7
CUST006842,2024-03-14,235,9,15
CUST001143,2024-03-15,108,6,3
CUST003373,2024-03-16,196,4,9
CUST002486,2024-03-17,207,1,19
CUST006105,2024-03-18,63,7,6
CUST000796,2024-03-19,184,6,8
CUST003767,2024-03-20,22,8,14
CUST008421,2024-03-21,168,7,10
CUST004519,2024-03-22,94,3,6
CUST008563,2024-03-23,170,6,14
CUST002745,2024-03-24,56,7,5
CUST002562,2024-03-25,79,2,12
CUST000726,2024-03-26,10,3,9
CUST004953,2024-03-27,235,4,8
CUST005315,2024-03-28,103,4,1
CUST008219,2024-03-29,121,1,12
CUST003198,2024-03-30,142,6,3
CUST006918,2024-03-31,219,8,16
CUST005126,2024-04-01,31,6,16
CUST000081,2024-04-02,236,6,5
CUST007843,2024-04-03,15,1,9
CUST008816,2024-04-04,20,4,14
CUST008483,2024-04-05,143,8,2
CUST001244,2024-04-06,232,1,2
CUST007533,2024-04-07,199,3,18
CUST004136,2024-04-08,68,6,19
CUST002421,2024-04-09,173,8,9
CUST003723,2024-04-10,109,3,1
CUST001720,2024-04-11,39,3,7
CUST004892,2024-04-12,123,8,7
CUST002475,2024-04-13,133,4,7
CUST006116,2024-04-14,168,1,17
CUST000384,2024-04-15,201,3,10
CUST002779,2024-04-16,148,7,14
CUST008020,2024-04-17,182,4,1
CUST007824,2024-04-18,154,5,8
CUST006447,2024-04-19,75,1,18
CUST007672,2024-04-20,64,8,14
CUST006841,2024-04-21,14,5,13
CUST009283,2024-04-22,107,6,6
CUST006850,2024-04-23,213,5,11
CUST005011,2024-04-24,159,1,8
CUST007185,2024-04-25,200,9,7
CUST000217,2024-04-26,5,4,16
CUST009367,2024-04-27,139,2,7
CUST003080,2024-04-28,149,7,8
CUST005134,2024-04-29,157,5,4
CUST007236,2024-04-30,68,5,15
CUST006070,2024-05-01,188,2,3
CUST007450,2024-05-02,103,1,19
CUST008464,2024-05-03,144,7,2
CUST004246,2024-05-04,90,6,13
CUST002935,2024-05-05,26,6,5
CUST000881,2024-05-06,228,5,1
CUST006522,2024-05-07,4,8,18
CUST000143,2024-05-08,95,3,19
CUST006223,2024-05-09,185,8,18
CUST001601,2024-05-10,71,1,18
CUST000814,2024-05-11,204,3,6
CUST007914,2024-05-12,63,4,18
CUST005199,2024-05-13,147,5,18
CUST005031,2024-05-14,159,5,6
CUST005777,2024-05-15,185,8,6
CUST001420,2024-05-16,238,1,4
CUST001407,2024-05-17,170,5,3
CUST009426,2024-05-18,139,1,7
CUST004289,2024-05-19,115,1,19
CUST005384,2024-05-20,233,8,8
CUST000944,2024-05-21,114,1,19
CUST002269,2024-05-22,171,6,18
CUST000819,2024-05-23,156,6,7
CUST001539,2024-05-24,63,2,12
CUST000603,2024-05-25,209,5,15
CUST008464,2024-05-26,196,8,5
CUST006627,2024-05-27,21,5,4
CUST004177,2024-05-28,209,5,4
CUST002351,2024-05-29,75,8,13
CUST003388,2024-05-30,79,3,12
CUST008344,2024-05-31,171,7,17
CUST001439,2024-06-01,187,4,16
CUST001913,2024-06-02,151,9,8
CUST000071,2024-06-03,179,7,6
CUST003119,2024-06-04,172,4,3
CUST001892,2024-06-05,95,4,17
CUST005964,2024-06-06,61,6,19
CUST006498,2024-06-07,207,3,2
CUST009129,2024-06-08,92,4,11
CUST006204,2024-06-09,130,3,13
CUST007801,2024-06-10,138,7,7
CUST007303,2024-06-11,50,9,18
CUST003960,2024-06-12,235,3,16
CUST009957,2024-06-13,184,2,17
CUST000042,2024-06-14,77,1,7
CUST002905,2024-06-15,168,4,10
CUST008212,2024-06-16,154,1,5
CUST009908,2024-06-17,117,9,6
CUST006736,2024-06-18,30,7,7
CUST008943,2024-06-19,33,7,16
CUST006250,2024-06-20,94,4,18
CUST009344,2024-06-21,68,4,16
CUST001179,2024-06-22,106,4,11
CUST003198,2024-06-23,121,6,18
CUST005040,2024-06-24,216,8,4
CUST001853,2024-06-25,185,9,17
CUST007712,2024-06-26,48,2,6
CUST006875,2024-06-27,153,4,3
CUST007954,2024-06-28,140,8,19
CUST006199,2024-06-29,188,2,1
CUST007069,2024-06-30,91,9,10
CUST008005,2024-07-01,150,9,14
CUST004154,2024-07-02,108,8,15
CUST007091,2024-07-03,50,6,6
CUST006814,2024-07-04,152,9,5
CUST006469,2024-07-05,107,4,15
CUST009749,2024-07-06,49,1,8
CUST006304,2024-07-07,127,1,14
CUST000191,2024-07-08,100,8,19
CUST007725,2024-07-09,218,4,6
CUST007147,2024-07-10,71,3,19
CUST009793,2024-07-11,67,1,14
CUST001024,2024-07-12,69,6,18
CUST008737,2024-07-13,10,2,15
CUST008374,2024-07-14,93,4,14
CUST005755,2024-07-15,53,2,3
CUST007999,2024-07-16,19,2,14
CUST004724,2024-07-17,52,2,15
CUST008345,2024-07-18,52,5,6
CUST002216,2024-07-19,220,1,17
CUST009037,2024-07-20,113,5,19
CUST000119,2024-07-21,111,3,16
CUST003814,2024-07-22,105,7,15
CUST007798,2024-07-23,60,7,17
CUST006826,2024-07-24,232,3,2
CUST009753,2024-07-25,209,5,12
CUST008280,2024-07-26,49,1,19
CUST001835,2024-07-27,178,8,6
CUST002582,2024-07-28,17,3,7
CUST001770,2024-07-29,13,4,6
CUST009932,2024-07-30,213,7,12
CUST005078,2024-07-31,230,4,11
CUST001447,2024-08-01,178,5,4
CUST009678,2024-08-02,234,1,15
CUST004816,2024-08-03,78,9,17
CUST000214,2024-08-04,121,7,10
CUST008280,2024-08-05,118,8,6
CUST007073,2024-08-06,25,3,15
CUST001185,2024-08-07,104,5,18
CUST005727,2024-08-08,170,1,15
CUST008954,2024-08-09,193,8,11
CUST007710,2024-08-10,181,4,8
CUST000568,2024-08-11,238,8,14
CUST000970,2024-08-12,0,2,5
CUST001716,2024-08-13,127,9,11
CUST006113,2024-08-14,34,6,8
CUST009261,2024-08-15,38,2,9
CUST001199,2024-08-16,149,1,3
CUST000981,2024-08-17,186,9,18
CUST005139,2024-08-18,141,1,4
CUST003606,2024-08-19,184,8,16
CUST006387,2024-08-20,142,6,6
CUST007304,2024-08-21,95,3,11
CUST001430,2024-08-22,13,8,19
CUST001560,2024-08-23,127,6,5
CUST003567,2024-08-24,11,3,17
CUST000700,2024-08-25,41,2,16
CUST008659,2024-08-26,16,6,8
CUST007994,2024-08-27,37,2,11
CUST006258,2024-08-28,56,7,12
CUST000317,2024-08-29,115,5,2
CUST007436,2024-08-30,69,9,10
CUST001540,2024-08-31,129,7,18
CUST001505,2024-09-01,103,7,14
CUST009129,2024-09-02,69,2,4
CUST009198,2024-09-03,70,1,19
CUST001249,2024-09-04,35,8,19
CUST001256,2024-09-05,162,5,19
CUST008273,2024-09-06,108,9,10
CUST001399,2024-09-07,16,6,5
CUST005609,2024-09-08,90,1,19
CUST001624,2024-09-09,158,4,7
CUST006285,2024-09-10,53,9,16
CUST009979,2024-09-11,120,1,1
CUST006340,2024-09-12,70,7,18
CUST000180,2024-09-13,47,7,13
CUST009259,2024-09-14,79,3,1
CUST008384,2024-09-15,179,4,7
CUST007788,2024-09-16,123,5,7
CUST004153,2024-09-17,45,5,2
CUST004756,2024-09-18,231,4,6
CUST008840,2024-09-19,215,2,19
CUST001555,2024-09-20,77,7,8
CUST001740,2024-09-21,50,5,10
CUST003777,2024-09-22,46,2,4
CUST006590,2024-09-23,79,6,18
CUST005280,2024-09-24,206,7,8
CUST003752,2024-09-25,199,2,2
CUST003257,2024-09-26,137,3,8
CUST007058,2024-09-27,106,3,11
CUST004860,2024-09-28,120,7,13
CUST001896,2024-09-29,103,7,5
CUST000031,2024-09-30,60,3,3
CUST006896,2024-10-01,147,7,11
CUST005376,2024-10-02,171,5,2
CUST004365,2024-10-03,143,1,5
CUST002770,2024-10-04,196,1,2
CUST000662,2024-10-05,56,1,10
CUST008169,2024-10-06,69,3,14
CUST003803,2024-10-07,71,1,5
CUST007418,2024-10-08,113,6,19
CUST002949,2024-10-09,154,9,19
CUST004804,2024-10-10,131,5,4
CUST007161,2024-10-11,168,3,12
CUST001663,2024-10-12,60,3,10
CUST006615,2024-10-13,77,2,11
CUST009958,2024-10-14,119,9,13
CUST006489,2024-10-15,109,1,1
CUST008706,2024-10-16,172,2,7
CUST000679,2024-10-17,218,3,11
CUST008343,2024-10-18,20,3,17
CUST005798,2024-10-19,151,4,14
CUST009048,2024-10-20,45,8,11
CUST005434,2024-10-21,204,1,5
CUST000513,2024-10-22,195,3,13
CUST004310,2024-10-23,228,3,17
CUST002021,2024-10-24,200,8,12
CUST009574,2024-10-25,8,8,1
CUST004348,2024-10-26,182,3,2
CUST007864,2024-10-27,158,3,5
CUST008450,2024-10-28,222,2,7
CUST004234,2024-10-29,112,6,16
CUST003834,2024-10-30,134,2,17
CUST006405,2024-10-31,77,3,11
CUST003039,2024-11-01,96,1,16
CUST004183,2024-11-02,162,2,19
CUST008317,2024-11-03,5,8,3
CUST004471,2024-11-04,90,2,9
CUST007862,2024-11-05,220,2,15
CUST007813,2024-11-06,6,2,13
CUST009698,2024-11-07,197,6,2
CUST005960,2024-11-08,196,7,17
CUST003755,2024-11-09,176,8,6
CUST001327,2024-11-10,159,9,4
CUST005302,2024-11-11,61,6,13
CUST004900,2024-11-12,112,1,4
CUST001839,2024-11-13,70,4,13
CUST005932,2024-11-14,32,4,19
CUST001168,2024-11-15,45,9,19
CUST000151,2024-11-16,192,9,9
CUST001450,2024-11-17,25,6,12
CUST004628,2024-11-18,8,2,7
CUST009680,2024-11-19,79,1,8
CUST009677,2024-11-20,64,6,15
CUST001723,2024-11-21,46,4,2
CUST005711,2024-11-22,5,9,17
CUST008879,2024-11-23,237,6,6
CUST006736,2024-11-24,142,9,3
CUST006894,2024-11-25,77,1,11
CUST008210,2024-11-26,61,2,16
CUST005169,2024-11-27,103,6,7
CUST009166,2024-11-28,190,4,14
CUST002955,2024-11-29,74,6,9
CUST008583,2024-11-30,63,1,18
CUST004817,2024-12-01,22,5,7
CUST002784,2024-12-02,172,7,5
CUST008071,2024-12-03,138,4,8
CUST006566,2024-12-04,49,8,9
CUST004655,2024-12-05,87,6,5
CUST004820,2024-12-06,229,7,10
CUST005713,2024-12-07,141,4,12
CUST001129,2024-12-08,102,7,8
CUST001819,2024-12-09,162,3,12
CUST004985,2024-12-10,109,5,15
CUST001649,2024-12-11,77,9,12
CUST003680,2024-12-12,181,1,12
CUST004463,2024-12-13,89,5,11
CUST003555,2024-12-14,180,6,5
CUST000167,2024-12-15,16,9,17
CUST009562,2024-12-16,30,8,15
CUST009107,2024-12-17,75,7,3
CUST001253,2024-12-18,61,7,19
CUST008830,2024-12-19,124,9,4
CUST006284,2024-12-20,85,4,14
CUST005498,2024-12-21,145,2,6
CUST009569,2024-12-22,112,3,4
CUST000464,2024-12-23,6,8,4
CUST006631,2024-12-24,73,5,6
CUST001382,2024-12-25,133,7,16
CUST002121,2024-12-26,188,9,7
CUST004134,2024-12-27,218,5,6
CUST009694,2024-12-28,26,5,12
CUST008465,2024-12-29,42,8,5
CUST001881,2024-12-30,49,3,11
CUST000306,2024-12-31,117,9,2
CUST005198,2025-01-01,26,6,11
CUST009991,2025-01-02,52,2,13
CUST009928,2025-01-03,159,3,15
CUST000453,2025-01-04,54,7,1
CUST003505,2025-01-05,153,2,17
CUST007838,2025-01-06,163,6,3
CUST000616,2025-01-07,120,3,11
CUST004370,2025-01-08,76,1,5
CUST009274,2025-01-09,82,2,4
CUST008212,2025-01-10,67,1,3
CUST005693,2025-01-11,4,8,7
CUST005959,2025-01-12,23,3,5
CUST008997,2025-01-13,170,2,6
CUST009147,2025-01-14,45,9,1
CUST007195,2025-01-15,108,5,18
CUST003202,2025-01-16,1,8,12
CUST002405,2025-01-17,200,8,13
CUST006316,2025-01-18,79,2,3
CUST003916,2025-01-19,235,4,5
CUST002489,2025-01-20,33,3,15
CUST000779,2025-01-21,174,9,16
CUST001672,2025-01-22,133,6,7
CUST008653,2025-01-23,69,8,19
CUST005667,2025-01-24,97,3,12
CUST005682,2025-01-25,79,3,7
CUST002585,2025-01-26,170,8,17
CUST006300,2025-01-27,59,3,9
CUST001873,2025-01-28,28,2,13
CUST001855,2025-01-29,62,3,13
CUST009454,2025-01-30,234,4,10
CUST003901,2025-01-31,118,4,19
CUST001487,2025-02-01,158,3,6
CUST000251,2025-02-02,192,8,16
CUST001333,2025-02-03,184,7,17
CUST007562,2025-02-04,174,7,5
CUST005720,2025-02-05,5,4,18
CUST007627,2025-02-06,43,5,7
CUST008632,2025-02-07,235,3,13
CUST007703,2025-02-08,232,9,16
CUST008900,2025-02-09,52,4,3
CUST008093,2025-02-10,202,6,4
CUST004636,2025-02-11,176,9,6
CUST006497,2025-02-12,33,9,2
CUST007098,2025-02-13,180,3,15
CUST005978,2025-02-14,145,9,17
CUST003087,2025-02-15,230,9,8
CUST009685,2025-02-16,204,1,2
CUST007343,2025-02-17,133,6,18
CUST009361,2025-02-18,180,1,18
CUST003624,2025-02-19,144,1,7
CUST007695,2025-02-20,166,3,2
CUST009466,2025-02-21,103,5,1
CUST001347,2025-02-22,234,1,8
CUST003473,2025-02-23,90,8,2
CUST006396,2025-02-24,51,1,5
CUST007988,2025-02-25,74,6,15
CUST009034,2025-02-26,28,4,18
CUST000773,2025-02-27,116,5,14
CUST006434,2025-02-28,134,2,10
CUST007686,2025-03-01,30,3,4
CUST001359,2025-03-02,225,8,19
CUST005054,2025-03-03,31,6,9
CUST001513,2025-03-04,3,6,9
CUST001412,2025-03-05,54,6,16
CUST009270,2025-03-06,25,9,7
CUST001374,2025-03-07,219,1,18
CUST004342,2025-03-08,106,1,2
CUST004754,2025-03-09,138,5,11
CUST008402,2025-03-10,75,9,11
CUST005874,2025-03-11,10,6,12
CUST001034,2025-03-12,235,1,17
CUST001011,2025-03-13,102,6,4
CUST001396,2025-03-14,57,1,10
CUST003430,2025-03-15,38,3,4
CUST005438,2025-03-16,27,1,1
CUST002563,2025-03-17,182,2,2
CUST003202,2025-03-18,35,3,9
CUST009062,2025-03-19,177,7,15
CUST001771,2025-03-20,225,6,5
CUST004605,2025-03-21,80,7,16
CUST002206,2025-03-22,206,1,10
CUST003943,2025-03-23,182,3,17
CUST006871,2025-03-24,23,1,9
CUST008047,2025-03-25,107,4,5
CUST005925,2025-03-26,166,2,2
CUST007604,2025-03-27,48,1,10
CUST004311,2025-03-28,191,1,12
CUST000385,2025-03-29,164,3,4
CUST003472,2025-03-30,3,6,7
CUST006249,2025-03-31,215,8,18
CUST009781,2025-04-01,136,6,14
CUST007170,2025-04-02,38,7,8
CUST001028,2025-04-03,48,1,19
CUST000988,2025-04-04,222,3,17
CUST003541,2025-04-05,179,3,15
CUST008504,2025-04-06,116,3,9
CUST006501,2025-04-07,110,7,16
CUST000953,2025-04-08,80,2,12
CUST009433,2025-04-09,104,2,14
CUST006662,2025-04-10,101,5,19
CUST009829,2025-04-11,132,3,10
CUST005148,2025-04-12,197,8,19
CUST002625,2025-04-13,203,7,16
CUST005251,2025-04-14,98,1,1
CUST003575,2025-04-15,149,4,11
CUST008552,2025-04-16,5,2,10
CUST004416,2025-04-17,12,8,12
CUST000027,2025-04-18,239,4,17
CUST008944,2025-04-19,3,8,13
CUST002962,2025-04-20,52,9,9
CUST004135,2025-04-21,216,6,6
CUST007326,2025-04-22,60,2,14
CUST004418,2025-04-23,187,2,13
CUST009667,2025-04-24,182,3,16
CUST000221,2025-04-25,2,6,16
CUST008454,2025-04-26,75,9,4
CUST003642,2025-04-27,89,2,8
CUST003860,2025-04-28,152,9,14
CUST000511,2025-04-29,96,3,11
CUST008035,2025-04-30,109,3,2
CUST004130,2025-05-01,94,6,3
CUST008646,2025-05-02,90,5,16
CUST004280,2025-05-03,127,2,11
CUST006208,2025-05-04,61,6,17
CUST001129,2025-05-05,189,5,2
CUST001327,2025-05-06,9,2,10
CUST005606,2025-05-07,40,3,14
CUST008190,2025-05-08,115,7,10
CUST007228,2025-05-09,14,8,6
CUST003568,2025-05-10,42,9,14
CUST001925,2025-05-11,185,6,5
CUST002161,2025-05-12,195,5,6
CUST001337,2025-05-13,43,1,9
CUST009826,2025-05-14,36,9,6
CUST005679,2025-05-15,78,6,14
CUST001746,2025-05-16,96,1,4
CUST002002,2025-05-17,223,2,8
CUST009683,2025-05-18,108,8,11
CUST009440,2025-05-19,137,7,16
CUST002979,2025-05-20,195,8,15
CUST002089,2025-05-21,138,3,3
CUST003739,2025-05-22,9,7,19
CUST003634,2025-05-23,22,9,16
CUST001310,2025-05-24,116,7,15
CUST003239,2025-05-25,141,4,13
CUST001359,2025-05-26,50,6,8
CUST008258,2025-05-27,5,6,7
CUST001440,2025-05-28,54,4,12
CUST000179,2025-05-29,13,5,9
CUST001808,2025-05-30,3,1,15
CUST001846,2025-05-31,116,2,17
CUST008182,2025-06-01,0,9,2
CUST007062,2025-06-02,187,5,8
CUST001561,2025-06-03,127,3,17
